parasite_index,connected_localities
2958,North America
2961,North America
2967,Europe
2968,Europe
2969,North America
2970,North America
2971,North America
2974,Asia
2975,North America
2976,North America
2979,North America
2981,North America
2990,North America
5260,North America
5288,North America
5819,North America
5822,North America
9287,North America
9619,North America
9620,North America
9675,North America
9688,North America
9610,North America
10633,Europe
19028,North America
19522,North America
19730,North America
25204,North America
19486,North America
25206,North America
26181,Asia
19544,North America
711,Pacific Ocean
3700,Europe
3882,Pacific Ocean
20011,Atlantic Ocean
20049,Atlantic Ocean
20056,Atlantic Ocean
29777,Pacific Ocean
390,North America
710,North America
1501,North America
1987,Europe
384,North America
2881,Europe
3320,Europe
3936,Atlantic Ocean
4215,Atlantic Ocean
3884,North America
6734,Europe
3580,Asia
4127,Europe
10152,Europe
10168,Europe
10711,Europe
9656,North America
13316,North America
14813,Europe
10803,Atlantic Ocean
15388,Asia
10211,Atlantic Ocean
15309,Asia
20033,Atlantic Ocean
20036,Europe
20048,Atlantic Ocean
20099,Europe
20100,Europe
19399,Europe
20956,Europe
21059,Europe
21565,Europe
23352,North America
23354,North America
21546,Europe
20443,Europe
25321,Europe
413,Europe
1512,North America
1833,North America
1848,North America
5342,North America
5210,Europe
10223,Europe
10224,South America
10277,Europe
13662,North America
13773,North America
9587,North America
13791,North America
10438,North America
13573,North America
20120,Europe
20189,Europe
23438,Europe
23439,North America
23443,North America
23468,North America
21841,North America
23481,North America
23485,North America
25312,Europe
29977,North America
88,North America
90,North America
5275,North America
5278,North America
9671,North America
13305,North America
9578,North America
13776,North America
22620,North America
23385,North America
21039,Europe
23410,North America
23411,North America
23414,North America
23440,North America
23453,North America
2461,North America
5276,North America
5297,North America
5321,North America
13774,North America
13775,North America
13782,Europe
15758,North America
23348,North America
23366,North America
23451,North America
28164,North America
5338,North America
2986,North America
5340,North America
5347,North America
6783,North America
9417,North America
15761,North America
4979,North America
23437,North America
1511,North America
510,Europe
643,Europe
1977,Atlantic Ocean
5345,North America
5349,North America
3086,Asia
4124,North America
6778,Europe
8007,Europe
8327,Europe
14819,Europe
14851,Europe
21585,Europe
21584,Europe
23363,North America
21300,North America
23134,North America
20419,Europe
20474,Europe
21540,Asia
25263,Europe
21783,Europe
24606,Europe
25362,Europe
26330,Europe
26332,Europe
25250,Europe
20493,Europe
27722,Europe
23419,North America
1359,North America
4977,North America
13310,North America
13309,Asia
9669,North America
18236,Pacific Ocean
20090,Atlantic Ocean
22587,Pacific Ocean
3841,Pacific Ocean
4131,Atlantic Ocean
6341,Pacific Ocean
23165,North America
3843,North America
4173,Europe
10625,Europe
20569,Atlantic Ocean
21877,Atlantic Ocean
23358,North America
26335,North America
2001,North America
5336,North America
6782,North America
15760,North America
5341,North America
5377,North America
5234,North America
23461,North America
20335,North America
23471,North America
23480,North America
87,North America
2959,North America
2960,North America
2983,North America
9616,North America
9658,Asia
9672,Europe
9674,Europe
19054,North America
19479,Europe
20344,Asia
2964,Europe
28108,North America
2952,North America
2904,Asia
2980,North America
9288,North America
5405,Europe
9615,North America
9630,North America
9636,North America
9673,Europe
9677,Europe
9682,North America
9596,North America
9609,North America
9593,North America
13579,North America
13588,North America
19528,North America
19530,Pacific Ocean
19531,Europe
19534,North America
19537,North America
19538,Europe
19541,North America
23114,North America
23310,North America
20971,North America
23325,North America
23326,Pacific Ocean
23328,Pacific Ocean
26344,North America
26378,North America
26386,North America
20891,North America
26399,Europe
26405,North America
21303,Atlantic Ocean
26427,North America
26433,North America
26441,North America
26443,North America
26451,Europe
26466,North America
21796,South America
26481,North America
26492,North America
26416,North America
30233,North America
29672,North America
26465,Europe
20271,Asia
26473,North America
97,North America
1695,Asia
2270,Europe
450,Europe
3563,Europe
3315,Europe
13593,Asia
22144,Europe
19502,North America
2987,Europe
5018,Europe
5057,Europe
2922,Europe
5099,Europe
5115,Europe
5116,Europe
5117,Europe
