parasite_index,connected_localities
2991,"Middle East + Asia Minor;New Zealand;South America;South Africa;Wyoming;Mongolia;Sudan;Washington;Uganda + Burundi + Rwanda;Turkmenistan;Hungary;Ukraine, incl. Moldavia;Oriental;United States;Western Europe;Zimbabwe;Wisconsin;Australia;Canada;Kazakstan;Lake Baikal;Yukon + Northwest Territories;Yugoslavia;Spain + Andalusia;Thailand"
5694,Zimbabwe
3000,"Middle East + Asia Minor;Virginia;Czechoslovakia;Japan;Wyoming;Washington;West Virginia;Hungary;Ukraine, incl. Moldavia;Oriental;Senegal + The Gambia + Guinea-Bassau;United States;Western Europe;Zimbabwe;Wisconsin;Egypt;Canada;Tunisia;Lithuania;Lake Baikal;South Australia;Yukon + Northwest Territories;Yugoslavia;Spain + Andalusia;Southern S. America;Thailand;Bulgaria"
3318,Zimbabwe;North Sea;South Korea;Sea of Japan;Pacific Ocean;Sea of Okhotsk;Japan;Southwest Atlantic;Norwegian Sea;United States;Russia (Asian)
5507,Zimbabwe;Wisconsin;Surinam;West Virginia;South America;Venezuela;United States
3453,Zimbabwe;Transvaal;West Virginia;Virginia;Wyoming;Sri Lanka;Oriental;Washington
2995,Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Yugoslavia;West Virginia;Namibia;United States;South America;Tunisia;Oriental;Western Europe;Washington
6319,Zimbabwe
6333,Zimbabwe;Pacific Ocean
3275,Zimbabwe;Northeast Atlantic;Pacific Ocean;Sea of Okhotsk;Norwegian Sea;United States
6337,Zimbabwe;Japan
3839,Zimbabwe;Atlantic Ocean;United States
6342,Zimbabwe
6343,Zimbabwe;Northeast Atlantic;Sea of Japan;Pacific Ocean;Russia (Asian)
6344,Zimbabwe;Western coast of British Isles
3031,Zimbabwe;Oceanic Islands
6345,Zimbabwe
3034,Zimbabwe;Indian Ocean;Atlantic Ocean;Sea of Okhotsk;Southwest Atlantic;Tyrrhenian Sea
6346,Zimbabwe
6347,Zimbabwe
6436,Zimbabwe;Western Europe
