# index, name, full_name, locality, group, is_host, _pos
141,Lobodon carcinophaga,"Ogmogaster antarcticus Johnston, l931",Oceanic Islands,Trematoda,1,"array([10.72691455, 48.0676653 ])"
142,Muraenolepis microps,"Postlepidapedon opisthobifurcatus (Zdzitowiecki, 1990)",Southwest Atlantic,Trematoda,1,"array([19.77767464, 45.77589256])"
143,Notothenia neglecta,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([24.9768056 , 40.34280942])"
144,Notothenia squamifrons,"Pseudobunocotyla nototheniae Kurochkin, 1975",Southwest Indian Ocean,Trematoda,1,"array([23.79853679, 45.45761822])"
145,Lepidonotothen nudifrons,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([19.35267103, 45.10762876])"
146,Parachaenichthys charcoti,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([23.4373014 , 40.68287156])"
147,Patagonotothen brevicauda,"Lepidapedon notogeorgianus Zdzitowiecki, 1990",Southwest Atlantic,Trematoda,1,"array([17.99149618, 45.28271818])"
148,Genypterus chilensis,"Aporocotyle keli Villalba & Fernandez, 1986",Pacific Ocean,Trematoda,1,"array([28.79888538, 46.99001986])"
149,Corynosoma australe,,,Mammalia,0,"array([32.75206524, 43.73238575])"
150,Micropogon opercularis,"Corynosoma australe Johnston, 1937",Southwest Atlantic,Acanthocephala,1,"array([29.75075499, 52.76311819])"
151,Neophoca cinerea,Uncinaria hamiltoni,Australia,Nematoda,1,"array([25.76707047, 52.45348248])"
152,Otaria flavescens,"Contracaecum ogmorhini Johnston & Mawson, 1941",Pacific Ocean,Nematoda,1,"array([18.54592488, 44.14639054])"
153,Otaria hookeri,"Corynosoma australe Johnston, 1937",Antarctic Ocean,Acanthocephala,1,"array([23.86067498, 60.53605351])"
154,Artedidraco loennbergi,"Macvicaria microtestis Zdzitowiecki & Cielecka, 1997",Antarctic Ocean,Trematoda,1,"array([16.19849733, 47.014018  ])"
155,Corynosoma bullosum,,,NA,0,"array([21.79194313, 42.5095796 ])"
156,Artedidraco mirus,"Genolinea bowersi (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([19.71286661, 46.5830902 ])"
157,Artedidraco orianae,"Macvicaria microtestis Zdzitowiecki & Cielecka, 1997",Antarctic Ocean,Trematoda,1,"array([20.01935098, 39.75350584])"
158,Bovallia gigantea,"Anisakis simplex (Rudolphi, 1809)",Antarctic Ocean,Nematoda,1,"array([27.54193423, 40.2008399 ])"
159,Dissostichus mawsoni,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([18.5434279 , 46.86624678])"
160,Leptonychotes weddellii,"Ogmogaster antarcticus Johnston, l931",Oceanic Islands,Trematoda,1,"array([16.56616503, 36.1847228 ])"
161,Lycodichthys antarcticus,"Cystidicola beatriceinsleyae (Holloway & Klewer, 1969)",Antarctic Ocean,Nematoda,1,"array([22.60047396, 48.16737338])"
162,Macrourus holotrachys,"Lepidapedon taeniatum Gaevskaya & Rodyuk, 1988",Southwest Atlantic,Trematoda,1,"array([29.70345888, 39.95513376])"
163,Macrourus whitsoni,"Postlepidapedon opisthobifurcatus (Zdzitowiecki, 1990)",Antarctic Ocean,Trematoda,1,"array([19.41213833, 56.15021284])"
164,Mirounga angustirostris,"Zalophotrema hepaticum Stunkard & Alvey, 1929",Pacific Ocean,Trematoda,1,"array([25.84558404, 25.08897584])"
165,Mirounga leonina,"Ogmogaster antarcticus Johnston, l931",Oceanic Islands,Trematoda,1,"array([19.35556144, 41.52333663])"
166,Notothenia gibberifrons,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([25.63340713, 43.86867107])"
167,Notothenia macrophthalma,"Macvicaria antarcticus (Kovaljova & Gaevskaya, 1974)",Southwest Atlantic,Trematoda,1,"array([12.8604342 , 54.89877727])"
168,Notothenia nudifrons,"Postmonorchis variabilis Prudhoe & Bray, 1973",Southwest Atlantic,Trematoda,1,"array([24.5191964 , 45.21559267])"
169,Nototheniops larseni,"Neolebouria antarctica (Szidat & Graefe, 1967)",Southwest Atlantic,Trematoda,1,"array([19.88646423, 49.27658045])"
170,Nototheniops nybelini,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([17.83576893, 47.27320405])"
171,Pagothenia bernacchii,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([25.54920172, 41.10989573])"
172,Pagothenia hansoni,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Southwest Atlantic,Trematoda,1,"array([26.15237012, 41.62241872])"
173,Pogonophryne permitini,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([14.3947802 , 52.92422377])"
174,Prionodraco evansii,"Lepidapedon garrardi (Leiper & Atkinson, 1914)",Antarctic Ocean,Trematoda,1,"array([19.95013014, 51.7059574 ])"
175,Pseudochaenichthys georgianus,"Neolebouria antarctica (Szidat & Graefe, 1967)",Southwest Atlantic,Trematoda,1,"array([24.80363494, 43.52326669])"
176,Pygoscelis papua,"Parorchites zederi (Baird, 1853)",Oceanic Islands,Cestoda,1,"array([12.30816104, 45.1715852 ])"
177,Racovitzia glacialis,"Stenakron glacialis Zdzitowiecki, 1989",Antarctic Ocean,Trematoda,1,"array([17.75536758, 49.99975812])"
178,Trematomus bernacchii,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([23.78946725, 47.43283595])"
179,Trematomus eulepidotus,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([24.08166901, 40.11956513])"
180,Trematomus hansoni,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([23.85584703, 41.7499782 ])"
181,Trematomus lepidorhinus,"Macvicaria microtestis Zdzitowiecki & Cielecka, 1997",Antarctic Ocean,Trematoda,1,"array([24.97015379, 38.19809911])"
182,Trematomus loennbergii,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([20.93595247, 43.08497081])"
183,Trematomus newnesi,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([26.11181325, 40.5682036 ])"
184,Trematomus pennellii,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([19.32491158, 47.41919062])"
185,Trematomus scotti,"Neolepidapedon trematomi Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([24.04129307, 37.72365772])"
186,Waldeckia obesa,"Anisakis simplex (Rudolphi, 1809)",Antarctic Ocean,Nematoda,1,"array([28.59170163, 42.54288588])"
187,Corynosoma evae,,,Teleostei,0,"array([14.79973133, 44.4758012 ])"
188,Corynosoma hamanni,,,NA,0,"array([22.42661707, 43.25770241])"
189,Eurymera monticosa,"Anisakis simplex (Rudolphi, 1809)",Antarctic Ocean,Nematoda,1,"array([29.4270132 , 41.36297192])"
190,Gondogeneia antarctica,"Anisakis simplex (Rudolphi, 1809)",Antarctic Ocean,Nematoda,1,"array([28.5298196 , 43.87132173])"
191,Lycodichthys dearborni,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Antarctic Ocean,Trematoda,1,"array([14.16075438, 48.58091797])"
192,Muraenolepis marmoratus,"Gonocerca phycidis Manter, 1925",Southwest Indian Ocean,Trematoda,1,"array([27.95915853, 45.78826138])"
193,Notothenia acuta,"Opechona magnatestis Gaevskaya & Kovaleva, 1976",Southwest Indian Ocean,Trematoda,1,"array([21.06967726, 51.27386176])"
194,Nototheniops mizops,"Postmonorchis variabilis Prudhoe & Bray, 1973",Antarctic Ocean,Trematoda,1,"array([22.94000136, 50.92477694])"
195,Ommatophoca rossii,"Glandicephalus antarcticus (Baird, 1853)",Antarctic Ocean,Cestoda,1,"array([ 5.79730378, 54.04902301])"
196,Pagothenia borchgrevinki,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Antarctic Ocean,Trematoda,1,"array([16.46892186, 47.89827473])"
197,Pleuragramma antarcticum,"Steringophorus furciger (Olsson, 1867)",Norwegian Sea,Trematoda,1,"array([27.34340483, 39.2497641 ])"
198,Pontogeneiella brevicornis,"Anisakis simplex (Rudolphi, 1809)",Antarctic Ocean,Nematoda,1,"array([29.93727914, 43.19820602])"
199,Prostebbingia brevicornis,"Corynosoma hamanni (Linstow, 1892)",Antarctic Ocean,Acanthocephala,1,"array([ 9.38207067, 57.11823286])"
200,Pygoscelis adeliae,"Tetrabothrius pauliani Joyeux & Baer, 1954",Oceanic Islands,Cestoda,1,"array([ 7.15288857, 52.94380157])"
201,Pseudotrematomus centronotus,"Neolebouria terranovaensis Zdzitowiecki, Pisano & Vacchi, 1993",Antarctic Ocean,Trematoda,1,"array([21.74167859, 39.70938737])"
202,Corynosoma hannae,,,Mammalia,0,"array([ 1.74130953, 48.46718225])"
203,Corynosoma mirabilis,,,Mammalia,0,"array([14.76365302, 47.59666805])"
204,Corynosoma pseudohamanni,,,Teleostei,0,"array([16.91957133, 39.11881991])"
